metric,value
mean_cost_per_mille,3.21
mean_click_through_rate,2.14
mean_conversion_rate,4.32
cost_per_mille_coefficient_of_variation,0.28
cost_per_mille_standard_deviation,0.90
conversion_rate_standard_deviation,1.45
